"(k,d)",d,G,reg,count,filename,intersections
"(5, 5)",5,G_relu_prod_1000,bound_softmax,0,data/harness_small59,"(0, 0, 0, 0, 0)"
"(5, 6)",6,G_original,,60,data/harness_small60,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_original,ridge,60,data/harness_small61,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_original,bound_sigmoid,60,data/harness_small62,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_original,bound_softmax,60,data/harness_small63,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_sigmoid,,60,data/harness_small64,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_sigmoid,ridge,60,data/harness_small65,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_sigmoid,bound_sigmoid,150,data/harness_small66,"(60, 30, 60, 60, 60)"
"(5, 6)",6,G_sigmoid,bound_softmax,60,data/harness_small67,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_relu_sum,,152,data/harness_small68,"(32, 48, 60, 56, 56)"
"(5, 6)",6,G_relu_sum,ridge,60,data/harness_small69,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_relu_sum,bound_sigmoid,60,data/harness_small70,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_relu_sum,bound_softmax,60,data/harness_small71,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_relu_prod,,122,data/harness_small72,"(48, 44, 56, 60, 60)"
"(5, 6)",6,G_relu_prod,ridge,109,data/harness_small73,"(60, 60, 60, 58, 60)"
"(5, 6)",6,G_relu_prod,bound_sigmoid,30,data/harness_small74,"(30, 30, 30, 30, 30)"
"(5, 6)",6,G_relu_prod,bound_softmax,120,data/harness_small75,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_relu_prod_1000,,134,data/harness_small76,"(60, 54, 46, 54, 50)"
"(5, 6)",6,G_relu_prod_1000,ridge,134,data/harness_small77,"(60, 54, 46, 54, 50)"
"(5, 6)",6,G_relu_prod_1000,bound_sigmoid,60,data/harness_small78,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_relu_prod_1000,bound_softmax,120,data/harness_small79,"(60, 60, 60, 60, 60)"
