"(k,d)",d,G,reg,count,filename,intersections
"(3, 3)",3,G_original,,0,data/harness_small0,"(0, 0, 0)"
"(3, 3)",3,G_original,ridge,7,data/harness_small1,"(3, 6, 0)"
"(3, 3)",3,G_original,bound_sigmoid,0,data/harness_small2,"(0, 0, 0)"
"(3, 3)",3,G_original,bound_softmax,0,data/harness_small3,"(0, 0, 0)"
"(3, 3)",3,G_sigmoid,,0,data/harness_small4,"(0, 0, 0)"
"(3, 3)",3,G_sigmoid,ridge,0,data/harness_small5,"(0, 0, 0)"
"(3, 3)",3,G_sigmoid,bound_sigmoid,9,data/harness_small6,"(6, 3, 0)"
"(3, 3)",3,G_sigmoid,bound_softmax,9,data/harness_small7,"(6, 3, 5)"
"(3, 3)",3,G_relu_sum,,0,data/harness_small8,"(0, 0, 0)"
"(3, 3)",3,G_relu_sum,ridge,7,data/harness_small9,"(3, 6, 0)"
"(3, 3)",3,G_relu_sum,bound_sigmoid,0,data/harness_small10,"(0, 0, 0)"
"(3, 3)",3,G_relu_sum,bound_softmax,0,data/harness_small11,"(0, 0, 0)"
"(3, 3)",3,G_relu_prod,,6,data/harness_small12,"(3, 3, 0)"
"(3, 3)",3,G_relu_prod,ridge,4,data/harness_small13,"(4, 0, 0)"
"(3, 3)",3,G_relu_prod,bound_sigmoid,6,data/harness_small14,"(6, 6, 6)"
"(3, 3)",3,G_relu_prod,bound_softmax,6,data/harness_small15,"(6, 6, 6)"
"(3, 3)",3,G_relu_prod_1000,,8,data/harness_small16,"(5, 5, 3)"
"(3, 3)",3,G_relu_prod_1000,ridge,6,data/harness_small17,"(6, 6, 6)"
"(3, 3)",3,G_relu_prod_1000,bound_sigmoid,8,data/harness_small18,"(5, 3, 4)"
"(3, 3)",3,G_relu_prod_1000,bound_softmax,0,data/harness_small19,"(0, 0, 0)"
"(4, 4)",4,G_original,,12,data/harness_small20,"(12, 12, 12, 12)"
"(4, 4)",4,G_original,ridge,12,data/harness_small21,"(12, 12, 12, 12)"
"(4, 4)",4,G_original,bound_sigmoid,12,data/harness_small22,"(12, 12, 12, 12)"
"(4, 4)",4,G_original,bound_softmax,12,data/harness_small23,"(12, 12, 12, 12)"
"(4, 4)",4,G_sigmoid,,12,data/harness_small24,"(12, 12, 12, 12)"
"(4, 4)",4,G_sigmoid,ridge,12,data/harness_small25,"(12, 12, 12, 12)"
"(4, 4)",4,G_sigmoid,bound_sigmoid,28,data/harness_small26,"(12, 4, 12, 12)"
"(4, 4)",4,G_sigmoid,bound_softmax,12,data/harness_small27,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_sum,,28,data/harness_small28,"(8, 8, 12, 8)"
"(4, 4)",4,G_relu_sum,ridge,12,data/harness_small29,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_sum,bound_sigmoid,12,data/harness_small30,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_sum,bound_softmax,12,data/harness_small31,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_prod,,12,data/harness_small32,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_prod,ridge,17,data/harness_small33,"(8, 12, 12, 12)"
"(4, 4)",4,G_relu_prod,bound_sigmoid,4,data/harness_small34,"(4, 4, 4, 4)"
"(4, 4)",4,G_relu_prod,bound_softmax,12,data/harness_small35,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_prod_1000,,27,data/harness_small36,"(10, 12, 10, 10)"
"(4, 4)",4,G_relu_prod_1000,ridge,12,data/harness_small37,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_prod_1000,bound_sigmoid,12,data/harness_small38,"(12, 12, 12, 12)"
"(4, 4)",4,G_relu_prod_1000,bound_softmax,24,data/harness_small39,"(12, 12, 12, 12)"
"(5, 5)",5,G_original,,0,data/harness_small40,"(0, 0, 0, 0, 0)"
"(5, 5)",5,G_original,ridge,30,data/harness_small41,"(30, 30, 30, 30, 30)"
"(5, 5)",5,G_original,bound_sigmoid,0,data/harness_small42,"(0, 0, 0, 0, 0)"
"(5, 5)",5,G_original,bound_softmax,23,data/harness_small43,"(23, 23, 23, 23, 23)"
"(5, 5)",5,G_sigmoid,,0,data/harness_small44,"(0, 0, 0, 0, 0)"
"(5, 5)",5,G_sigmoid,ridge,0,data/harness_small45,"(0, 0, 0, 0, 0)"
"(5, 5)",5,G_sigmoid,bound_sigmoid,50,data/harness_small46,"(30, 20, 30, 20, 0)"
"(5, 5)",5,G_sigmoid,bound_softmax,50,data/harness_small47,"(30, 20, 2, 2, 2)"
"(5, 5)",5,G_relu_sum,,0,data/harness_small48,"(0, 0, 0, 0, 0)"
"(5, 5)",5,G_relu_sum,ridge,30,data/harness_small49,"(30, 30, 30, 30, 30)"
"(5, 5)",5,G_relu_sum,bound_sigmoid,0,data/harness_small50,"(0, 0, 0, 0, 0)"
"(5, 5)",5,G_relu_sum,bound_softmax,23,data/harness_small51,"(23, 23, 23, 23, 23)"
"(5, 5)",5,G_relu_prod,,60,data/harness_small52,"(12, 16, 20, 26, 22)"
"(5, 5)",5,G_relu_prod,ridge,52,data/harness_small53,"(22, 23, 23, 29, 16)"
"(5, 5)",5,G_relu_prod,bound_sigmoid,20,data/harness_small54,"(20, 20, 20, 20, 20)"
"(5, 5)",5,G_relu_prod,bound_softmax,30,data/harness_small55,"(0, 0, 0, 30, 30)"
"(5, 5)",5,G_relu_prod_1000,,69,data/harness_small56,"(19, 20, 27, 23, 20)"
"(5, 5)",5,G_relu_prod_1000,ridge,69,data/harness_small57,"(19, 20, 27, 23, 20)"
"(5, 5)",5,G_relu_prod_1000,bound_sigmoid,56,data/harness_small58,"(21, 27, 27, 28, 25)"
