G,iterations,optimized val,edges cut by config,optimize func of t1,regularization,filename,intersections
G_test,0,-164.58555193989673,192,-164.58555193989673,,data_test/t1_matrix_test_0,"(52, 60, 60, 52, 48)"
G_test,2,-179.45889454750906,122,-164.58555193989673,ridge,data_test/t1_matrix_test_1,"(32, 48, 56, 32, 32)"
G_test,10,-162.90693491550303,178,-164.58555193989673,bound_sigmoid,data_test/t1_matrix_test_2,"(60, 60, 60, 60, 60)"
G_test,0,-144.60391850331428,110,-164.58555193989673,bound_softmax,data_test/t1_matrix_test_3,"(60, 60, 60, 60, 60)"
G_sigmoid,0,-192.0,192,-192.0,,data_test/t1_matrix_test_4,"(52, 60, 60, 52, 48)"
G_sigmoid,2,-96.0,130,-192.0,ridge,data_test/t1_matrix_test_5,"(32, 60, 56, 32, 32)"
G_sigmoid,143,-181.98730262213064,182,-192.0,bound_sigmoid,data_test/t1_matrix_test_6,"(60, 60, 60, 60, 60)"
G_sigmoid,0,-109.9999999716525,110,-192.0,bound_softmax,data_test/t1_matrix_test_7,"(60, 60, 60, 60, 60)"
G_relu_sum,1,-26829063.043767124,136,-3232.0,,data_test/t1_matrix_test_8,"(60, 60, 52, 32, 32)"
G_relu_sum,1,-25775778.551764674,134,-3232.0,ridge,data_test/t1_matrix_test_9,"(60, 60, 52, 32, 32)"
G_relu_sum,51,-46.09090908931026,174,-3232.0,bound_sigmoid,data_test/t1_matrix_test_10,"(60, 60, 60, 60, 60)"
G_relu_sum,19,-74.99999201052428,110,-3232.0,bound_softmax,data_test/t1_matrix_test_11,"(60, 60, 60, 60, 60)"
G_relu_prod,0,-192.0,192,-192.0,,data_test/t1_matrix_test_12,"(52, 60, 60, 52, 48)"
G_relu_prod,2,-192.0,122,-192.0,ridge,data_test/t1_matrix_test_13,"(32, 48, 56, 32, 32)"
G_relu_prod,1,-191.79006411863713,180,-192.0,bound_sigmoid,data_test/t1_matrix_test_14,"(48, 60, 60, 60, 60)"
G_relu_prod,28,177850.25586477248,110,-192.0,bound_softmax,data_test/t1_matrix_test_15,"(60, 60, 60, 60, 60)"
G_relu_prod_1000,0,-192.0,192,-192.0,,data_test/t1_matrix_test_16,"(52, 60, 60, 52, 48)"
G_relu_prod_1000,2,-192.0,122,-192.0,ridge,data_test/t1_matrix_test_17,"(32, 48, 56, 32, 32)"
G_relu_prod_1000,1,209935881362671.88,180,-192.0,bound_sigmoid,data_test/t1_matrix_test_18,"(48, 60, 60, 60, 60)"
G_relu_prod_1000,4,1.7644804296875e+20,84,-192.0,bound_softmax,data_test/t1_matrix_test_19,"(60, 60, 60, 48, 60)"
