"(k,d)",d,G,reg,count,filename,intersections
"(5, 5)",5,G_relu_prod,bound_softmax,48,data_test/harness_small55,"(24, 0, 24, 24, 30)"
"(5, 5)",5,G_relu_prod_1000,,70,data_test/harness_small56,"(25, 25, 25, 25, 19)"
"(5, 5)",5,G_relu_prod_1000,ridge,74,data_test/harness_small57,"(25, 24, 27, 24, 25)"
"(5, 5)",5,G_relu_prod_1000,bound_sigmoid,73,data_test/harness_small58,"(27, 26, 24, 29, 24)"
"(5, 5)",5,G_relu_prod_1000,bound_softmax,0,data_test/harness_small59,"(0, 0, 0, 0, 0)"
"(5, 6)",6,G_test,,161,data_test/harness_small60,"(58, 58, 54, 56, 48)"
"(5, 6)",6,G_test,ridge,152,data_test/harness_small61,"(52, 60, 60, 36, 40)"
"(5, 6)",6,G_test,bound_sigmoid,158,data_test/harness_small62,"(60, 60, 60, 56, 48)"
"(5, 6)",6,G_test,bound_softmax,60,data_test/harness_small63,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_sigmoid,,147,data_test/harness_small64,"(40, 50, 38, 54, 56)"
"(5, 6)",6,G_sigmoid,ridge,153,data_test/harness_small65,"(56, 60, 54, 58, 34)"
"(5, 6)",6,G_sigmoid,bound_sigmoid,166,data_test/harness_small66,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_sigmoid,bound_softmax,69,data_test/harness_small67,"(60, 60, 54, 60, 60)"
"(5, 6)",6,G_relu_sum,,144,data_test/harness_small68,"(50, 54, 40, 32, 56)"
"(5, 6)",6,G_relu_sum,ridge,153,data_test/harness_small69,"(54, 50, 60, 44, 38)"
"(5, 6)",6,G_relu_sum,bound_sigmoid,155,data_test/harness_small70,"(60, 48, 48, 60, 60)"
"(5, 6)",6,G_relu_sum,bound_softmax,60,data_test/harness_small71,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_relu_prod,,164,data_test/harness_small72,"(48, 56, 60, 60, 52)"
"(5, 6)",6,G_relu_prod,ridge,158,data_test/harness_small73,"(28, 52, 56, 58, 52)"
"(5, 6)",6,G_relu_prod,bound_sigmoid,154,data_test/harness_small74,"(44, 54, 44, 60, 58)"
"(5, 6)",6,G_relu_prod,bound_softmax,120,data_test/harness_small75,"(60, 60, 60, 60, 60)"
"(5, 6)",6,G_relu_prod_1000,,159,data_test/harness_small76,"(46, 56, 44, 60, 60)"
"(5, 6)",6,G_relu_prod_1000,ridge,146,data_test/harness_small77,"(44, 50, 46, 42, 46)"
"(5, 6)",6,G_relu_prod_1000,bound_sigmoid,149,data_test/harness_small78,"(60, 48, 54, 46, 46)"
"(5, 6)",6,G_relu_prod_1000,bound_softmax,69,data_test/harness_small79,"(60, 60, 60, 54, 60)"
