tuple,count,G_test
"(0, 0, 0, 0)",0,0.036787944117144235
"(0.01, 0.01, 0.01, 0.01)",0,0.036801306087138524
"(-0.01, -0.01, -0.01, -0.01)",4,1.235443343303421e-05
"(-0.01, -0.01, -0.01, -0.01, 1)",4,1.235443343303421e-05
"(0.01, 0.01, 0.01, 0.01, -1)",1,0.09999999670245222
"(0.01, 0.01, 0.01, 0.01, 1)",0,0.036801306087138524
"(-0.5, -0.5, -0.5, -0.5)",4,1.2340980408667957e-05
